year,model,model_label,mean,standard_error,lower_95,upper_95,interval_scope
2026,structural_ols,Structural OLS (levels),0.372149425577011,0.0129335044514477,0.346800222658285,0.397498628495737,Conditional model-only OLS prediction interval; fixed drivers
2027,structural_ols,Structural OLS (levels),0.37759674349701,0.0138150278064832,0.350519786550884,0.404673700443137,Conditional model-only OLS prediction interval; fixed drivers
2028,structural_ols,Structural OLS (levels),0.381617717396979,0.0148299969752187,0.352551457434712,0.410683977359245,Conditional model-only OLS prediction interval; fixed drivers
2029,structural_ols,Structural OLS (levels),0.383771759235937,0.0158939929119561,0.352620105557968,0.414923412913906,Conditional model-only OLS prediction interval; fixed drivers
2030,structural_ols,Structural OLS (levels),0.384892140510915,0.0169376876104766,0.351694882812991,0.41808939820884,Conditional model-only OLS prediction interval; fixed drivers
2031,structural_ols,Structural OLS (levels),0.385779514751362,0.0180206211993081,0.350459746221679,0.421099283281045,Conditional model-only OLS prediction interval; fixed drivers
2032,structural_ols,Structural OLS (levels),0.386130256310338,0.0190952452723607,0.348704263300552,0.423556249320123,Conditional model-only OLS prediction interval; fixed drivers
2033,structural_ols,Structural OLS (levels),0.385480008351649,0.0190282339479752,0.348185355124215,0.422774661579082,Conditional model-only OLS prediction interval; fixed drivers
2034,structural_ols,Structural OLS (levels),0.38497567256855,0.0190095045431038,0.347717728300116,0.422233616836984,Conditional model-only OLS prediction interval; fixed drivers
2035,structural_ols,Structural OLS (levels),0.384276269756265,0.0190159791690042,0.347005635454253,0.421546904058277,Conditional model-only OLS prediction interval; fixed drivers
2036,structural_ols,Structural OLS (levels),0.384057710616102,0.0191313204605654,0.346561011536699,0.421554409695504,Conditional model-only OLS prediction interval; fixed drivers
2037,structural_ols,Structural OLS (levels),0.385023376613446,0.0194124218748846,0.346975728885975,0.423071024340918,Conditional model-only OLS prediction interval; fixed drivers
2038,structural_ols,Structural OLS (levels),0.385989042610791,0.019705092090945,0.347367771800494,0.424610313421088,Conditional model-only OLS prediction interval; fixed drivers
2039,structural_ols,Structural OLS (levels),0.386954708608136,0.0200088234625934,0.347738135248433,0.426171281967839,Conditional model-only OLS prediction interval; fixed drivers
2040,structural_ols,Structural OLS (levels),0.387920374605482,0.0203231200651455,0.348087791224313,0.42775295798665,Conditional model-only OLS prediction interval; fixed drivers
