scenario,year,g,r_star,r_add,phi,pb,sfa,r_exog,r_phi,r,b,int_gdp,overall
Baseline,2030,0.05,0.042,0,0,0.00466265060240961,0.0114185084838942,0.042,0,0.042,0.372322696665191,0.0147349397590361,-0.0100722891566265
Baseline,2031,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.371991810191131,0.0148929078666076,-0.00598025726419799
Baseline,2032,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.371663444756874,0.0148796724076452,-0.0059670218052356
Baseline,2033,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.371337581154496,0.0148665377902749,-0.0059538871878653
Baseline,2034,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.371014200322423,0.0148535032461799,-0.00594085264377021
Baseline,2035,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.370693283344308,0.0148405680128969,-0.00592791741048727
Baseline,2036,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.370374811447931,0.0148277313337723,-0.00591508073136268
Baseline,2037,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.370058766004098,0.0148149924579172,-0.0059023418555076
Baseline,2038,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.369745128525551,0.0148023506401639,-0.00588970003775428
Baseline,2039,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.369433880665889,0.0147898051410221,-0.00587715453861241
Baseline,2040,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.36912500421849,0.0147773552266356,-0.00586470462422591
Baseline,2041,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.368818481115453,0.0147650001687396,-0.00585234956632998
Baseline,2042,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.368514293426534,0.0147527392446181,-0.00584008864220848
Baseline,2043,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.368212423358102,0.0147405717370614,-0.00582792113465173
Baseline,2044,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.367912853252097,0.0147284969343241,-0.00581584633191445
Baseline,2045,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.367615565584994,0.0147165141300839,-0.00580386352767422
Baseline,2046,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.367320542966783,0.0147046226233998,-0.00579197202099011
Baseline,2047,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.367027768139949,0.0146928217186713,-0.00578017111626168
Baseline,2048,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.366737223978463,0.014681110725598,-0.00576846012318833
Baseline,2049,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.366448893486778,0.0146694889591385,-0.00575683835672887
Baseline,2050,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.36616275979884,0.0146579557394711,-0.00574530513706148
Baseline,2051,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.365878806177095,0.0146465103919536,-0.00573385978954394
Baseline,2052,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.365597016011516,0.0146351522470838,-0.00572250164467415
Baseline,2053,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.365317372818627,0.0146238806404606,-0.00571123003805099
Baseline,2054,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.365039860240541,0.0146126949127451,-0.00570004431033543
Baseline,2055,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.364764462044002,0.0146015944096216,-0.005688943807212
Baseline,2056,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.364491162119437,0.0145905784817601,-0.00567792787935045
Baseline,2057,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.364219944480012,0.0145796464847775,-0.00566699588236785
Baseline,2058,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.363950793260696,0.0145687977792005,-0.00565614717679083
Baseline,2059,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.363683692717338,0.0145580317304279,-0.00564538112801821
Baseline,2060,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.363418627225738,0.0145473477086935,-0.00563469710628386
Baseline,2061,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.36315558128074,0.0145367450890295,-0.00562409448661986
Baseline,2062,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.362894539495324,0.0145262232512296,-0.00561357264881997
Baseline,2063,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.362635486599701,0.014515781579813,-0.00560313097740332
Baseline,2064,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.362378407440426,0.0145054194639881,-0.00559276886157841
Baseline,2065,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.362123286979508,0.014495136297617,-0.0055824856952074
Baseline,2066,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.361870110293529,0.0144849314791803,-0.00557228087677066
Baseline,2067,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.361618862572777,0.0144748044117412,-0.00556215380933152
Baseline,2068,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.361369529120374,0.0144647545029111,-0.00555210390050145
Baseline,2069,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.361122095351418,0.014454781164815,-0.00554213056240532
Baseline,2070,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.360876546792129,0.0144448838140567,-0.00553223321164706
Baseline,2071,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.360632869079007,0.0144350618716852,-0.00552241126927553
Baseline,2072,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.360391047957985,0.0144253147631603,-0.00551266416075065
Baseline,2073,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.360151069283599,0.0144156419183194,-0.00550299131590976
Baseline,2074,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.359912919018161,0.014406042771344,-0.00549339216893433
Baseline,2075,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.359676583230936,0.0143965167607265,-0.00548386615831681
Baseline,2076,0.05,0.042,0,0,0.00891265060240965,0.0114185084838942,0.042,0,0.042,0.359442048097328,0.0143870633292374,-0.00547441272682779
