"nominal_return","annual_real_return","treatment","tax_as_share_real_gain"
0,-0.0243902439024389,"50% discount",NA
0,-0.0243902439024389,"Inflation indexation",NA
0,-0.0243902439024389,"Full nominal gain taxed",NA
0.001,-0.0234146341463415,"50% discount",NA
0.001,-0.0234146341463415,"Inflation indexation",NA
0.001,-0.0234146341463415,"Full nominal gain taxed",NA
0.002,-0.0224390243902438,"50% discount",NA
0.002,-0.0224390243902438,"Inflation indexation",NA
0.002,-0.0224390243902438,"Full nominal gain taxed",NA
0.003,-0.0214634146341464,"50% discount",NA
0.003,-0.0214634146341464,"Inflation indexation",NA
0.003,-0.0214634146341464,"Full nominal gain taxed",NA
0.004,-0.0204878048780487,"50% discount",NA
0.004,-0.0204878048780487,"Inflation indexation",NA
0.004,-0.0204878048780487,"Full nominal gain taxed",NA
0.005,-0.0195121951219512,"50% discount",NA
0.005,-0.0195121951219512,"Inflation indexation",NA
0.005,-0.0195121951219512,"Full nominal gain taxed",NA
0.006,-0.0185365853658536,"50% discount",NA
0.006,-0.0185365853658536,"Inflation indexation",NA
0.006,-0.0185365853658536,"Full nominal gain taxed",NA
0.007,-0.0175609756097561,"50% discount",NA
0.007,-0.0175609756097561,"Inflation indexation",NA
0.007,-0.0175609756097561,"Full nominal gain taxed",NA
0.008,-0.0165853658536584,"50% discount",NA
0.008,-0.0165853658536584,"Inflation indexation",NA
0.008,-0.0165853658536584,"Full nominal gain taxed",NA
0.009,-0.015609756097561,"50% discount",NA
0.009,-0.015609756097561,"Inflation indexation",NA
0.009,-0.015609756097561,"Full nominal gain taxed",NA
0.01,-0.0146341463414633,"50% discount",NA
0.01,-0.0146341463414633,"Inflation indexation",NA
0.01,-0.0146341463414633,"Full nominal gain taxed",NA
0.011,-0.0136585365853659,"50% discount",NA
0.011,-0.0136585365853659,"Inflation indexation",NA
0.011,-0.0136585365853659,"Full nominal gain taxed",NA
0.012,-0.0126829268292682,"50% discount",NA
0.012,-0.0126829268292682,"Inflation indexation",NA
0.012,-0.0126829268292682,"Full nominal gain taxed",NA
0.013,-0.0117073170731707,"50% discount",NA
0.013,-0.0117073170731707,"Inflation indexation",NA
0.013,-0.0117073170731707,"Full nominal gain taxed",NA
0.014,-0.0107317073170731,"50% discount",NA
0.014,-0.0107317073170731,"Inflation indexation",NA
0.014,-0.0107317073170731,"Full nominal gain taxed",NA
0.015,-0.00975609756097562,"50% discount",NA
0.015,-0.00975609756097562,"Inflation indexation",NA
0.015,-0.00975609756097562,"Full nominal gain taxed",NA
0.016,-0.00878048780487795,"50% discount",NA
0.016,-0.00878048780487795,"Inflation indexation",NA
0.016,-0.00878048780487795,"Full nominal gain taxed",NA
0.017,-0.00780487804878049,"50% discount",NA
0.017,-0.00780487804878049,"Inflation indexation",NA
0.017,-0.00780487804878049,"Full nominal gain taxed",NA
0.018,-0.00682926829268282,"50% discount",NA
0.018,-0.00682926829268282,"Inflation indexation",NA
0.018,-0.00682926829268282,"Full nominal gain taxed",NA
0.019,-0.00585365853658537,"50% discount",NA
